entity,cusip,cik,date,tickercusip,nameOfIssuer,shares,value
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",46641Q688,1722641,6/30/2020,BBAX,JPMORGAN BETABUILDERS DEVELOPED ASIA-EX JAPAN ETF,461,10000
"0001768130    HOWARD FINANCIAL SERVICES, LTD.
Name: entity, dtype: object",46641Q696,1768130,6/30/2020,BBCA,J P MORGAN EXCHANGE-TRADED F,15900,359000
"0001768130    HOWARD FINANCIAL SERVICES, LTD.
Name: entity, dtype: object",46641Q720,1768130,6/30/2020,BBEU,J P MORGAN EXCHANGE-TRADED F,13300,295000
"0001598841    Advisors Preferred, LLC
Name: entity, dtype: object",92189F726,1598841,6/30/2020,BBH,VanEck Vectors Biotech ETF,596,98000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",1.05E+205,1722641,6/30/2020,BCLI,BRAINSTORM CELL THERAPEUTICS I COM NEW,1457,16000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",09257A108,1722641,6/30/2020,BCX,BLACKROCK RES & COMMODITIES STRATEGYTR SHS,999,6000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",77454106,1558481,6/30/2020,BDC,BELDEN INC,10261,334000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",93712107,1558481,6/30/2020,BE,BLOOM ENERGY CORP  A,15356,167000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",G16258108,1537014,6/30/2020,BEP,BROOKFIELD RENEWABLE PARTNER,1000,1023000
"0001767045    Lindbrook Capital, LLC
Name: entity, dtype: object",08653C106,1767045,6/30/2020,BEST,BEST INC SPONSORED ADS,445,2000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",115637100,1722641,6/30/2020,BFA,BROWN FORMAN CORP CL A,494,28000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",25459W862,1722641,3/31/2020,BGU,DIREXION DAILY S&P 500 BULL 3X SHARES,600,19000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",74347R214,1722641,6/30/2020,BIB,PROSHARES ULTRA NASDAQ BIOTECHNOLOGY,1642,119000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",101507101,1722641,6/30/2020,BIF,BOULDER GROWTH & INCOME FD INC COM,1168,11000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",05550J101,1558481,6/30/2020,BJ,BJ S WHOLESALE CLUB HOLDINGS,30982,1155000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",09239B109,1558481,6/30/2020,BL,BLACKLINE INC,10674,885000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",58586108,1537014,6/30/2020,BLDP,BALLARD PWR SYS INC NEW,118545,1826000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",32108607,1722641,6/30/2020,BLOK,AMPLIFY TRANSFORMATIONAL DATA SHARING ETF,100,2000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",101044105,1722641,6/30/2020,BOMN,BOSTON OMAHA CORP COM,1000,16000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",09627Y109,1537014,6/30/2020,BPMC,BLUEPRINT MEDICINES CORP,878602,68534000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",G16249107,1722641,6/30/2020,BPY,BROOKFIELD PROPERTY PARTRS LP UNIT LTD PARTN,7706,76000
"0001730890    Harborview Advisors, LLC
Name: entity, dtype: object",46138J502,1730890,6/30/2020,BSCK,INVESCO EXCH TRD SLF IDX FD,32942,701000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",46138J601,1722641,6/30/2020,BSJK,INVESCO BULLETSHARES 2020 HIGH YIELD CORPORATE BOND ETF,200,5000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",46138J809,1722641,6/30/2020,BSJL,INVESCO BULLETSHARES 2021 HIGH YIELD CORPORATE BOND ETF,32,1000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",46138J874,1722641,6/30/2020,BSJM,INVESCO BULLETSHARES 2022 HIGH YIELD CORPORATE BOND ETF,6045,135000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",46138J858,1722641,6/30/2020,BSJN,INVESCO BULLETSHARES 2023 HIGH YIELD CORPORATE BOND ETF,1000,24000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",11776U300,1722641,6/30/2020,BSQR,BSQUARE CORP COM NEW,700,1000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",92479104,1722641,6/30/2020,BYM,BLACKROCK MUNI INCM TR NATIONAL,454,6000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",06684L103,1537014,6/30/2020,BZUN,BAOZUN INC,518000,19918000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",141788109,1558481,6/30/2020,CARG,CARGURUS INC,18685,474000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",124805102,1558481,6/30/2020,CBZ,CBIZ INC,11859,284000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",13321L108,1537014,6/30/2020,CCJ,CAMECO CORP,19546,200000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",05368M106,1722641,6/30/2020,CDMO,AVID BIOSERVICES INC COM,19265,126000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",14167L103,1558481,6/30/2020,CDNA,CAREDX INC,9099,322000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",192005106,1558481,6/30/2020,CDXS,CODEXIS INC,12548,143000
"0001389059    BLB&amp;B Advisors, LLC
Name: entity, dtype: object",85208R101,1389059,6/30/2020,CEF,SPROTT PHYSICAL GOLD & SILVE,23348,395000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",15102K100,1722641,6/30/2020,CELC,CELCUITY INC COM,159,1000
"0001269950    DELTEC ASSET MANAGEMENT LLC
Name: entity, dtype: object",110122140,1269950,6/30/2020,CELGRT,BRISTOL-MYERS SQUIBB CO,20367,9000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",163572209,1722641,12/31/2019,CEMI,CHEMBIO DIAGNOSTICS INC COM NEW,226,1000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",16359R103,1748766,6/30/2020,CHE,CHEMED CORP NEW,16,7000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",163092109,1558481,6/30/2020,CHGG,CHEGG INC,27511,1850000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",12811L107,1722641,6/30/2020,CHW,CALAMOS GBL DYN INCOME FUND COM,4182,31000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",09256A109,1722641,6/30/2020,CII,BLACKROCK ENH CAP & INC FD INC COM,444,6000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",220587109,1722641,12/31/2019,CLDB,CORTLAND BANCORP COM,1695,37000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",15117B202,1722641,6/30/2020,CLDX,CELLDEX THERAPEUTICS INC NEW COM NEW,1500,20000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",192576106,1558481,12/31/2019,COHU,COHU INC,27518,629000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",191098102,1558481,6/30/2020,COKE,COCA COLA CONSOLIDATED INC,1128,259000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",216648402,1558481,6/30/2020,COO,COOPER COS INC/THE,11453,3249000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",731094108,1722641,3/31/2020,COOL,POLARITYTE INC COM,0,0
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",218681104,1558481,6/30/2020,CORE,CORE MARK HOLDING CO INC,10285,257000
"0001645382    MISSION WEALTH MANAGEMENT, LP
Name: entity, dtype: object",72201R817,1645382,6/30/2020,CORP,PIMCO ETF TR,6286,718000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",231269200,1722641,6/30/2020,CRIS,CURIS INC COM NEW,9,0
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",156727109,1558481,6/30/2020,CRNC,CERENCE INC,8224,336000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",22788C105,1558481,6/30/2020,CRWD,CROWDSTRIKE HOLDINGS INC   A,24098,2417000
"0000728882     STRALEM &amp; CO
Name: entity, dtype: object",136635109,728882,6/30/2020,CSIQ,CANADIAN SOLAR INC,2,0
"0001634228    AdvicePeriod, LLC
Name: entity, dtype: object",464288646,1634228,6/30/2020,CSJ,ISHARES TR,4148,227000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",14862Q100,1722641,6/30/2020,CSLT,CASTLIGHT HEALTH INC CLASS B C OM,2241,2000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",21925Y103,1558481,6/30/2020,CSOD,CORNERSTONE ONDEMAND INC,11757,453000
"0001634553    Domani Wealth, LLC
Name: entity, dtype: object",128125101,1634553,6/30/2020,CSQ,Calamos Strategic Total Return Fund CEF,149550,1859000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",140501107,1722641,12/31/2019,CSWC,CAPITAL SOUTHWEST CORP COM,1740,36000
"0001525212    USCA RIA LLC
Name: entity, dtype: object",18469Q108,1525212,6/30/2020,CTR,CLEARBRIDGE MLP AND MIDSTRM,12000,33000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",229663109,1558481,6/30/2020,CUBE,CUBESMART,43693,1179000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",25459Y876,1722641,12/31/2019,CURE,DIREXION DAILY HEALTHCARE BULL 3X SHARES,905,67000
"0000903783    OLD SECOND NATIONAL BANK OF AURORA
Name: entity, dtype: object",78464A359,903783,6/30/2020,CWB,SPDR Bloomberg Barclays Cons Sec ETF,993,60000
"0001634553    Domani Wealth, LLC
Name: entity, dtype: object",78463X848,1634553,6/30/2020,CWI,SPDR MSCI ACWI ex-US ETF,158940,3602000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",233051846,1722641,6/30/2020,DBAP,XTRACKERS INTERNATIONAL REAL ESTATE ETF,97,2000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",258623107,1722641,6/30/2020,DBL,DOUBLELINE OPPORTUNISTIC CR COM,330,6000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",46140H502,1722641,6/30/2020,DBP,POWERSHARES DB PRECIOUS METALS,50,2000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",97717W836,1722641,6/30/2020,DFJ,WISDOMTREE TR JAPAN SMALLCAP DIVID FD,73,5000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",67075F105,1722641,6/30/2020,DIAX,NUVEEN DOW 30 DYNAMIC OVERWRIT SHS,11249,153000
"0001759803    Graves-Light Private Wealth Management, Inc.
Name: entity, dtype: object",97717W307,1759803,6/30/2020,DLN,WISDOMTREE TR,115351,10714000
"0001768130    HOWARD FINANCIAL SERVICES, LTD.
Name: entity, dtype: object",25820R105,1768130,6/30/2020,DMLP,DORCHESTER MINERALS LP,17234,220000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",257554105,1722641,6/30/2020,DOMO,DOMO INC COM CL B,200,6000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",575385109,1558481,6/30/2020,DOOR,MASONITE INTERNATIONAL CORP,5346,416000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",G02602103,1722641,6/30/2020,DOX,AMDOCS LTD,583,35000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",253827703,1722641,6/30/2020,DRAD,DIGIRAD CORP COM NEW,320,1000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",26152H301,1722641,6/30/2020,DRD,DRDGOLD LIMITED SPON ADR REPSTG,2,0
"0001730890    Harborview Advisors, LLC
Name: entity, dtype: object",78464A300,1730890,6/30/2020,DSV,SPDR SER TR,51943,2551000
"0001645382    MISSION WEALTH MANAGEMENT, LP
Name: entity, dtype: object",97717W703,1645382,6/30/2020,DWM,WISDOMTREE TR,189813,8403000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",28531P103,1722641,6/30/2020,ECOR,ELECTROCORE INC COM,65296,54000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",97717W562,1722641,6/30/2020,EES,WISDOMTREE U.S. SMALLCAP FUND,2135,61000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",74347X302,1722641,6/30/2020,EET,PROSHARES ULTRA MSCI EMERGING MARKETS,1000,57000
"0001634228    AdvicePeriod, LLC
Name: entity, dtype: object",464288885,1634228,6/30/2020,EFG,ISHARES TR,3330,277000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",284902509,1722641,6/30/2020,EGO,ELDORADO GOLD CP,230,2000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",269796108,1722641,6/30/2020,EGRX,EAGLE PHARMACEUTICALS INC COM,5,0
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",28249H104,1537014,6/30/2020,EIDX,EIDOS THERAPEUTICS INC,185721,8854000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",29266S304,1722641,6/30/2020,ELGX,ENDOLOGIX INC COM NEW,4790,4000
"0001696260    Good Life Advisors, LLC
Name: entity, dtype: object",78464A854,1696260,6/30/2020,ELR,SPDR SER TR,390163,14145000
"0001730890    Harborview Advisors, LLC
Name: entity, dtype: object",78464A821,1730890,6/30/2020,EMG,SPDR SER TR,61540,3310000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",18469P100,1722641,3/31/2020,EMO,CLEARBRIDGE ENERGY MIDSTRM OPP COM,338,1000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",301505889,1537014,6/30/2020,EMQQ,EXCHANGE TRADED CONCEPTS TR,14620,683000
"0001730890    Harborview Advisors, LLC
Name: entity, dtype: object",78464A839,1730890,6/30/2020,EMV,SPDR SER TR,77979,3324000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",29404K106,1558481,6/30/2020,ENV,ENVESTNET INC,11844,871000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",30052C107,1722641,12/31/2019,EOLS,EVOLUS INC COM,7200,88000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",29428V104,1537014,6/30/2020,EPZM,EPIZYME INC,264982,4256000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",294628102,1558481,6/30/2020,EQC,EQUITY COMMONWEALTH,27538,887000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",29446Y502,1722641,6/30/2020,EQX,EQUINOX GOLD CORP COM,3740,42000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",29082A107,1722641,6/30/2020,ERJ,EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA S A,763,5000
"0001645382    MISSION WEALTH MANAGEMENT, LP
Name: entity, dtype: object",46434G863,1645382,6/30/2020,ESGE,ISHARES INC,159718,5124000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",921910733,1722641,6/30/2020,ESGV,VANGUARD ESG U.S. STOCK ETF,5027,283000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",G3198U102,1558481,6/30/2020,ESNT,ESSENT GROUP LTD,24887,903000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",N14506104,1558481,6/30/2020,ESTC,ELASTIC NV,11968,1104000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",27829C105,1722641,6/30/2020,ETW,EATON VANCE TAX MANAGED BUY WRITE OPPORTUNITIES FD COM,234,2000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",27829U105,1722641,6/30/2020,ETX,EATON VANCE MUN INCOME 2028 TE SHS,2000,41000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",B38564108,1722641,6/30/2020,EURN,EURONAV NV ANTWERPEN SHS,11,0
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",29414J107,1537014,6/30/2020,EVA,ENVIVA PARTNERS LP,16367,590000
"0001739594    Altium Wealth Management LLC
Name: entity, dtype: object",27826S103,1739594,6/30/2020,EVF,EATON VANCE SR INCOME TR,37336,199000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",30050B101,1558481,6/30/2020,EVH,EVOLENT HEALTH INC   A,17209,123000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",464286103,1722641,6/30/2020,EWA,ISHARES INC MSCI AUSTRALIA INDEX FD,104,2000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",464286772,1722641,6/30/2020,EWY,ISHARES MSCI SOUTH KOREA INDEX FD ETF,86,5000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",464288729,1722641,6/30/2020,EXI,ISHARES GLOBAL INDUSTRIALS ETF,418,35000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",302081104,1558481,6/30/2020,EXLS,EXLSERVICE HOLDINGS INC,7695,488000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",30212W100,1722641,6/30/2020,EXPI,EXP WORLD HLDGS INC COM,31130,531000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",63845R107,1558481,6/30/2020,EYE,NATIONAL VISION HOLDINGS INC,18103,553000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",30233M503,1722641,12/31/2019,EYEG,EYEGATE PHARMACEUTICALS INC COM NEW,66,1000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",97717W570,1722641,6/30/2020,EZM,WISDOMTREE U.S. MIDCAP FUND,2470,80000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",319835104,1722641,6/30/2020,FCCO,FIRST CMNTY CORP S C COM,1200,18000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",33733E807,1722641,6/30/2020,FCG,FIRST TR ISE REVERE NAT GAS INDEX FD,260,2000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",316188101,1722641,12/31/2019,FCOR,FIDELITY CORPORATE BOND ETF,500,27000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",33737J307,1722641,6/30/2020,FEMS,FIRST TR EXCHANGE TRADED ALPHADEX FD II EMERGING MARKETSSMALL CAP ALPHADEXF,173,6000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",33738G104,1722641,3/31/2020,FEN,ENERGY INCOME & GROWTH FD COM,100,1000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",316092402,1722641,6/30/2020,FENY,FIDELITY MSCI ENERGY INDEX ETF,685,7000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",45782C102,1722641,6/30/2020,FFTY,INNOVATOR IBD 50 ETF,250,9000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",320557101,1722641,6/30/2020,FIBP,FIRST INTERNET BANCORP,7138,119000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",316092709,1722641,6/30/2020,FIDU,FIDELITY MSCI INDUSTRIALS INDEX ETF,90,3000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",338307101,1558481,6/30/2020,FIVN,FIVE9 INC,13786,1526000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",359664109,1722641,6/30/2020,FLGT,FULGENT GENETICS INC COM,1347,22000
"0001535859    Rezny Wealth Management, Inc.
Name: entity, dtype: object",46429B655,1535859,6/30/2020,FLOT,ISHARES TRUST FLTG RATE NT ETF,226083,11437000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",33938J106,1722641,3/31/2020,FLXN,FLEXION THERAPEUTICS INC COM,392,3000
"0001730210    TRH Financial, LLC
Name: entity, dtype: object",33739N108,1730210,6/30/2020,FMB,FIRST TR EXCH TRADED FD III,4210,232000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",316092501,1722641,6/30/2020,FNCL,FIDELITY MSCI FINANCIALS INDEX ETF,4005,133000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",03152W109,1537014,6/30/2020,FOLD,AMICUS THERAPEUTICS INC,741588,11184000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",09255X100,1722641,6/30/2020,FRA,BLACKROCK FLOATING RATE INCOME COM,1800,20000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",353525108,1722641,6/30/2020,FRAF,FRANKLIN FINL SVCS CORP COM,875,23000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",33734G108,1722641,6/30/2020,FRI,FIRST TRUST S&P REIT INDEX FUND,265,6000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",320817109,1558481,6/30/2020,FRME,FIRST MERCHANTS CORP,12497,345000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",34960W106,1722641,3/31/2020,FRTA,FORTERRA INC COM,7000,48000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",34553D101,1558481,3/31/2020,FSCT,FORESCOUT TECHNOLOGIES INC,8306,262000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",349915108,1722641,6/30/2020,FSM,FORTUNA SILVER MINES INC COM,4632,24000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",316092303,1722641,6/30/2020,FSTA,FIDELITY MSCI CONSUMER STAPLES INDEX ETF,260,9000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",316092808,1722641,6/30/2020,FTEC,FIDELITY MSCI INFORMATION TECHNOLOGY INDEX ETF,3587,295000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",33738D309,1722641,6/30/2020,FTSL,FIRST TRUST SENIOR LOAN FUND,94,4000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",150185106,1722641,6/30/2020,FUN,CEDAR FAIR L P DEPOSITRY UNIT,100,3000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",33738R605,1722641,6/30/2020,FV,FIRST TRUST DORSEY WRIGHT FOCUS 5 ETF,300,10000
"0001696260    Good Life Advisors, LLC
Name: entity, dtype: object",33734H106,1696260,6/30/2020,FVD,FIRST TR VALUE LINE DIVID IN,46111,1397000
"0001634208    Analyst IMS Investment Management Services Ltd.
Name: entity, dtype: object",M4R82T106,1634208,6/30/2020,FVRR,FIVERR INTL LTD,193738,14301000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",33734X101,1722641,6/30/2020,FXD,FIRST TR EXCH TRADED FD CONSUMER DISCRETIONARY,1986,74000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",33734X184,1722641,6/30/2020,FXU,FIRST TRUST UTILITIES ALPHADEX FUND,177,5000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",373865104,1722641,6/30/2020,GABC,GERMAN AMERICAN BANCORP ,13442,418000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",371927104,1722641,6/30/2020,GEL,GENESIS ENERGY L P UNIT L P INT,500,4000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",374396406,1722641,12/31/2019,GEVO,GEVO INC ,2000,5000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",369822101,1722641,6/30/2020,GFN,GENERAL FIN CORP DELCOM,808,5000
"0001739594    Altium Wealth Management LLC
Name: entity, dtype: object",36465A109,1739594,6/30/2020,GGN,GAMCO GLOBAL GOLD NAT RES &,13752,47000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",40131M109,1537014,6/30/2020,GH,GUARDANT HEALTH INC,7,1000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",384637104,1558481,6/30/2020,GHC,GRAHAM HOLDINGS CO CLASS B,981,336000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",395259104,1722641,6/30/2020,GHL,GREENHILL &AMP; CO INC,59,1000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",377322102,1558481,6/30/2020,GKOS,GLAUKOS CORP,8800,338000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",L44385109,1748766,6/30/2020,GLOB,GLOBANT S A,68,10000
"0001731372    Kendall Capital Management
Name: entity, dtype: object",368736104,1731372,6/30/2020,GNRC,"Generac Holding, Inc.",11230,1369000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",399473107,1558481,3/31/2020,GRPN,GROUPON INC,106064,104000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",36246K103,1722641,3/31/2020,GRX,GABELLI HLTHCARE & WELLNESS TR SHS,500,5000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",382550101,1537014,6/30/2020,GT,GOODYEAR TIRE & RUBR CO,13031,117000
"0001798485    Aurora Investment Managers, LLC.
Name: entity, dtype: object",448579102,1798485,6/30/2020,H,HYATT HOTELS CORP,21189,1066000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",442496105,1722641,6/30/2020,HBMD,HOWARD BANCORP INC COM,3386,36000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",440407104,1722641,6/30/2020,HBNC,HORIZON BANCORP INC COM,3606,39000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",42225T107,1722641,6/30/2020,HCAT,HEALTH CATALYST INC COM,457,13000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",421906108,1558481,6/30/2020,HCSG,HEALTHCARE SERVICES GROUP,16794,411000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",97717X701,1722641,6/30/2020,HEDJ,WISDOMTREE EUROPE HEDGED EQUITY FUND,286,17000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",427096508,1722641,6/30/2020,HTGC,HERCULES CAPITAL INC COM,223,2000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",G46408103,1722641,6/30/2020,HUD,HUDSON LTD COM CL A,56,0
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",447462102,1558481,6/30/2020,HURN,HURON CONSULTING GROUP INC,5081,225000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",450913108,1722641,6/30/2020,IAG,IAMGOLD CORP COM,875,3000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",46434VAU4,1722641,3/31/2020,IBDK,ISHARES IBONDS DEC 2019 TERM CORPORATE ETF,9541,237000
"0001085163    SIGMA INVESTMENT COUNSELORS
Name: entity, dtype: object",46434VAQ3,1085163,6/30/2020,IBDL,ISHARES TR,454774,11519000
"0001085163    SIGMA INVESTMENT COUNSELORS
Name: entity, dtype: object",46434VBK5,1085163,6/30/2020,IBDM,ISHARES TR,575396,14471000
"0001085163    SIGMA INVESTMENT COUNSELORS
Name: entity, dtype: object",46434VBA7,1085163,6/30/2020,IBDN,ISHARES TR,572448,14700000
"0001645382    MISSION WEALTH MANAGEMENT, LP
Name: entity, dtype: object",464288224,1645382,6/30/2020,ICLN,ISHARES TR,16228,203000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",45845P108,1558481,6/30/2020,ICPT,INTERCEPT PHARMACEUTICALS IN,5932,284000
"0001696260    Good Life Advisors, LLC
Name: entity, dtype: object",464287697,1696260,6/30/2020,IDU,ISHARES TR,3873,541000
